Total Population,ZIP,Traffic,Haz_Waste,Pollution_Burden,Linguistic_Isolation,Poverty,Housing_Burden
6249,93635,578.0383978,0.125,54.89,27.5,61.9,23.7
5360,90810,2340.123353,10.555,63.93,25,57.2,29.2
2930,90063,1346.099356,1.82,66.57,22,39.8,18.8
6986,90201,1071.674863,0.375,61.77,21.7,59.9,20.4
4016,90003,3411.112037,0.045,56.56,19.7,78.5,39.9
4049,90201,846.9770771,0.36,63.63,13.7,58.8,30.9
3998,90280,1022.731152,0.435,62.49,23.8,56.7,24.1
8069,92801,3993.075807,1.62,64.60,17.9,39,25.3
4196,91706,2317.227733,0.265,64.60,23.7,34.4,20.5
1663,95206,1398.631168,0.5,59.35,17,56,25.6
2845,90015,2299.077818,1.17,61.77,18.4,62.2,32.4
4410,91732,653.6300379,0.305,64.33,20,51.8,18.4
4597,90806,835.0445932,0.935,59.34,18.1,52.2,31
3981,90723,3428.127249,1.895,69.82,14.3,60.5,24.3
3205,93631,850.3609384,0.035,63.86,26.2,72.1,20.9
3610,91605,1847.598501,0.195,62.05,21.8,30.7,21.8
2687,90744,1141.661085,4.235,61.50,9.5,46.7,32.5
3785,90061,4287.095787,0.17,56.72,18,60.2,41.2
4238,95341,789.87508,0.345,51.82,33.3,76.4,27
4387,91766,693.064546,0.75,60.02,16.6,51.4,30.6
6568,90037,2688.551534,0.36,59.05,11.7,53.3,35.4
2557,90015,4107.833142,0.235,58.34,25.9,70.4,38.8
2195,92113,672.1473987,7.435,64.68,25.6,58.3,38.1
5794,90606,2437.969208,10.92,76.27,12.3,31.5,20.1
5569,91746,1835.693203,0.305,72.55,22.9,36,20.9
3739,90039,2406.039789,6.91,75.75,18.1,45.1,34.2
2848,90270,1223.856579,0.745,65.35,33.3,40.3,28.1
7254,90220,1377.490556,5.88,72.95,5.5,37.7,14.8
4681,95205,681.8709837,0.185,56.90,21.4,71.7,30.1
3682,90003,3339.908089,0.05,58.14,11.8,61.8,39
4649,90731,513.3361806,2.295,59.45,13.2,54.5,31.4
3782,92376,848.3523287,0.6,55.07,14.3,73.3,36.3
4825,90011,711.9885826,0.99,55.78,25,71.7,39
5531,90011,916.7699754,0.92,57.48,27.6,57.7,27.2
6750,92405,1023.781586,0.55,56.94,7.9,62.2,28.5
4981,90059,1787.20928,5.48,62.01,6.1,65.8,30.9
3036,90640,788.8954183,1.67,64.70,22.3,59.4,27.4
3660,90031,946.9841038,0.27,63.49,37.6,66.6,24
3628,90018,4044.383573,0.745,58.58,21.9,64.3,35.7
4476,90280,992.1589477,0.45,61.97,25.1,51.7,31.5
2691,90026,3691.429139,1.68,67.87,13,41.8,26.2
2728,91352,1620.993788,0.945,69.11,20.2,65.9,39.3
3386,92408,1774.230598,1.155,64.97,9.1,44.8,28.6
4621,90002,865.6201939,0.725,55.34,17.4,58.9,40.5
3154,90033,795.7488349,0.135,57.96,26.8,69,31.8
6111,90002,607.5091903,0.2,53.22,22.8,51.7,32.3
4737,90016,3063.418989,0.35,68.44,11.6,41.2,34.5
6032,91732,764.9587382,0.45,62.72,27.2,64.1,36.8
4189,90002,856.5602869,0.1,53.46,18.2,64.3,38.1
3853,90744,1403.85703,0.95,61.22,23.8,61.6,22.3
3263,91761,1888.972913,2.335,74.39,9.1,26.4,17.4
3648,90001,753.4769778,2.305,55.81,21.9,54.5,36.8
4435,93703,1749.336808,0.1,52.44,32.2,77.4,38.1
2797,91731,1992.596036,0.47,72.90,52.7,54.6,27.5
5934,93256,253.7564485,0.5,65.87,57.8,69.9,22.3
4599,90040,1620.983049,5.665,74.38,11.9,32.6,23.1
3152,93650,1429.167229,0.6,66.70,9.3,61.3,19.9
6736,90059,923.6548731,0,53.46,19.7,57.9,37.3
6318,92801,3203.622314,5.46,68.38,26.9,58.9,29.5
5383,93702,459.6789104,0.3,54.36,23.8,63.6,29.3
6727,92410,1136.073315,0.21,54.10,15.3,70.5,41
9180,92405,973.7088486,0.26,55.23,16.7,80.4,35.8
4837,93706,178.0834685,5.26,69.12,10.3,46.4,11.5
5328,95206,1219.929615,0.35,59.47,15.8,57.4,31.5
5505,92113,537.2402406,5.68,60.72,17.6,68.3,33.3
4201,90805,982.2408098,2.39,61.98,10.9,42.5,23
2348,90221,785.4332063,3.07,58.61,10.5,56.7,29.7
7149,94621,722.3796788,0.705,55.51,6.2,65.1,23.3
4851,90063,1555.237454,2.16,62.49,23.9,48.4,27
2415,90016,1361.779481,1.06,63.20,16.3,40.1,26.8
5163,90022,1842.854967,0.485,57.24,29.2,40.8,33
3407,90044,4052.921203,0.185,59.33,17.9,62.8,38.9
3474,90007,1945.209817,0.255,61.52,36.8,80.8,36.6
4376,91205,989.4093939,0.54,64.78,35.9,57.1,42.1
2007,90280,1143.072256,1.06,63.24,28.4,52.2,23.2
5590,94801,595.5620602,13.925,58.44,27.3,44.7,25.5
6320,90201,781.7199888,0.85,68.55,15.3,59.1,32.3
3515,93274,354.300637,0.87,62.65,33.8,67.6,15.6
8677,90620,1839.069924,1.155,70.65,21.3,54.7,26.8
2393,90012,1546.351247,2.575,67.18,50.8,61.9,34.8
3385,90007,1977.772749,0.36,58.26,28.3,67.6,32.2
4218,91764,406.3482261,0.475,58.81,23.6,46.6,22.8
3360,90640,889.239027,1.745,59.36,16.5,56.4,26.8
5779,91405,1159.363223,0.445,55.51,21.8,50.6,28.6
6779,92231,2837,0.3,60.45,52.8,56.6,31.8
5599,92324,1818.467497,8.66,71.59,12.4,34.4,13
4250,90022,1093.385829,0.28,56.08,16.8,53.7,27.7
3665,90011,900.6286739,0.285,54.63,29.6,69.7,28.9
3676,90805,4995.974322,0.805,61.49,6.9,41.5,21.3
12934,93637,1064.346944,0.75,61.90,18.3,49.8,17.5
4388,92113,962.4120271,3.705,60.26,20.5,58.6,23.4
4954,90723,806.7372663,3.39,61.13,11.2,56.1,23.2
4654,90255,747.02487,0.325,60.08,14.2,44.3,25.9
3676,93721,389.6005491,0.3,57.86,9.8,61.5,14.8
3436,91746,1571.765237,2.33,73.25,14.5,35.4,16.3
7392,93722,882.0169011,1.36,57.98,15.9,58.2,29.4
5133,90063,2529.849791,1.56,68.07,27.6,54.7,27.5
6713,90262,3286.079446,3.5,69.78,13.3,36.8,37.8
3415,93206,281.8872413,2.41,65.37,17.7,53.7,18.8
5934,90220,778.8868815,3.02,59.91,9.5,46.6,17.3
6781,93257,250.2168104,0.535,63.15,21.1,53.5,20.8
5223,90002,482.1919166,0.535,51.75,18.1,67.7,30.9
5715,90011,591.1333929,0.135,52.86,19.3,71.6,37.5
5156,91702,3203.755909,10.23,67.61,10.3,37.7,24.5
986,90810,1020.363521,6.99,59.14,2.2,85.4,NA
3697,90011,706.3017526,0.23,60.59,21.3,66.1,50.9
4723,90723,2417.876435,0.76,65.52,13.9,49.9,22.2
4934,90037,2867.931729,0.15,56.21,28.1,55.7,32.4
5546,90201,849.3485748,0.525,61.08,20.1,57.5,23.6
4233,90011,667.0754392,0.255,52.30,25.2,73.4,37.3
3594,93701,1581.116435,0.27,54.62,12.8,72.3,27.1
5461,90001,1104.590501,0.47,57.58,8.8,66.3,45.1
7097,93618,432.9133364,0.185,55.21,22.8,75.7,23.8
3251,90220,676.9743142,3.225,66.09,2.8,57.8,15.3
4160,92509,1442.051154,0.01,60.28,15.6,52.4,26.2
2926,90012,1750.291405,3.04,66.27,38.2,57.1,27.1
3600,90011,700.7129571,0.17,56.40,21.2,66.3,38.2
3759,95351,802.9393748,0.635,54.63,14.2,80.7,27.7
5355,95691,2006.453572,1.11,67.91,10.7,65.9,23.7
2420,93702,194.2056816,2.075,54.37,21.3,80.2,19.3
3893,91402,1006.633174,0.225,51.16,39.2,70.5,41.7
7661,90011,764.5098357,0.44,55.26,33,73.7,36
2567,95814,1145.513234,1.66,52.85,40.1,83.7,23.1
5238,91402,1443.169452,1.605,60.97,16.2,27.6,22.9
6103,90013,686.0065785,1.535,63.15,7.3,93.2,29.1
6083,93654,297.8881037,0.56,59.01,26.1,62.3,24
4362,91605,2529.147605,0.51,67.77,29.2,45.6,30.1
5931,90029,2100.439241,0.4,59.75,31.7,42.2,22.5
6365,91767,619.3817663,0.81,57.05,18,64.4,35.1
4360,90813,939.6370893,0.375,52.08,26.3,63.3,14.5
4173,91762,755.6744916,2.195,61.54,15.2,48.8,28.1
7493,91767,1794.433982,1.025,61.29,17.6,46.1,28.8
2868,93706,270.9718325,0.125,55.43,13.9,47.5,17
3263,92411,1866.632367,0.055,53.91,18.7,69.4,21.8
1967,93301,624.7217058,2.815,55.48,5.5,73.7,22.5
2698,90065,1901.069575,1.155,68.52,22,34.8,30.7
3050,91745,4005.907407,0.155,71.09,19.1,40.3,20.1
2738,95351,848.3575155,0.085,58.03,15.5,80.1,31
5363,92405,1046.466563,0.5,55.82,6.7,57.5,24.8
5892,91605,2019.798812,1.425,69.19,8,37.4,20.3
5027,90201,1127.093603,1.235,62.19,19.4,64,31
5950,90017,713.5800629,0.5,57.04,46.5,71.8,40.5
3216,91605,1344.169027,0.265,59.34,11,44.3,22.1
5637,90044,2753.210221,0.06,55.59,12.9,58,28.4
3643,90810,502.2970184,0.99,54.85,12.6,53,25.8
3605,90220,621.3854999,0.66,58.32,5.1,40.2,30.9
3367,90038,906.8688774,0.44,62.64,24.8,63.8,35
4435,91331,3020.620667,0.31,67.08,9.1,22.4,21.1
2192,91601,1005.527223,0.205,57.25,13.1,50.6,39
4202,93274,706.1569411,1.235,62.30,26.8,52.2,16
6546,90222,813.4571412,3.83,67.19,2.5,23.1,24.1
3477,93307,777.9044462,0.535,55.85,9.2,58.6,22.4
2097,90303,3945.434633,1.815,66.63,NA,27.7,20.9
9417,93257,665.9665494,0.42,54.63,31,65.2,34.3
6273,90222,556.4841112,16.395,59.08,12.8,57.5,33
4238,91766,298.4973045,0.355,56.08,26.6,54,21.8
5578,90280,627.0113496,0.585,59.30,21.7,39.6,26.2
3304,90011,722.3923401,0.12,50.72,27.1,72.4,35.8
9746,93291,632.709865,0.465,72.29,17.9,59.6,25.1
2839,91331,4822.397793,0.5,67.44,22.1,48.6,31.5
3608,95991,1121.33255,0.935,64.40,16,63.7,27.7
3341,91331,4907.459464,0.07,59.84,16.1,35.5,29.1
6206,95351,734.9884501,0.16,54.60,17.2,64.3,29.9
3405,91733,711.6204974,0.33,63.54,25.4,59,24
3473,90744,535.6164502,0.415,54.15,34,70.2,18.9
