Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG
26,18,49,42,5,7,1,0,1,2,0,1,4,18,0.167,0.286,0.262
31,8,24,24,2,4,0,0,1,2,0,1,0,10,0.167,0.167,0.292
29,2,8,6,0,1,0,0,0,0,0,0,2,3,0.167,0.375,0.167
31,43,63,54,11,9,0,0,0,2,3,0,8,9,0.167,0.286,0.167
31,16,34,30,3,5,1,0,1,2,0,0,3,14,0.167,0.265,0.300
27,13,33,30,4,5,0,2,0,3,3,1,3,10,0.167,0.242,0.300
32,2,6,6,0,1,0,0,0,0,0,0,0,3,0.167,0.167,0.167
27,7,13,12,3,2,0,0,0,0,0,0,0,5,0.167,0.231,0.167
25,4,12,12,0,2,0,0,0,0,0,0,0,4,0.167,0.167,0.167
22,9,24,24,1,4,0,0,0,0,0,1,0,7,0.167,0.167,0.167
25,23,71,60,5,10,3,0,0,1,1,1,8,23,0.167,0.261,0.217
22,16,41,36,3,6,1,0,1,3,0,0,5,12,0.167,0.268,0.278
25,58,174,160,12,27,4,0,5,11,1,0,11,54,0.169,0.224,0.288
33,33,86,71,6,12,3,0,0,4,0,0,13,27,0.169,0.298,0.211
24,37,112,106,13,18,3,1,3,8,1,0,4,44,0.170,0.207,0.302
22,18,50,47,4,8,1,0,1,8,1,0,2,13,0.170,0.200,0.255
23,17,36,35,3,6,1,1,0,2,1,2,1,7,0.171,0.194,0.257
30,50,193,170,11,29,4,0,2,19,0,0,19,50,0.171,0.249,0.229
29,16,38,29,1,5,1,0,0,3,0,0,8,12,0.172,0.368,0.207
25,142,466,407,53,70,18,2,8,33,10,3,52,120,0.172,0.268,0.285
32,34,85,75,8,13,1,0,0,7,4,0,7,13,0.173,0.244,0.187
32,37,110,97,8,17,3,0,0,7,1,0,11,25,0.175,0.264,0.206
25,18,63,63,3,11,1,1,0,2,1,0,0,25,0.175,0.175,0.222
26,48,155,142,14,25,4,0,5,10,0,1,12,46,0.176,0.245,0.310
25,9,19,17,1,3,0,0,1,2,0,0,1,2,0.176,0.211,0.353
28,8,19,17,2,3,0,0,0,0,1,1,2,12,0.176,0.263,0.176
27,66,201,176,20,31,8,3,3,17,4,1,23,64,0.176,0.274,0.307
28,83,234,205,26,36,5,0,11,28,5,1,25,60,0.176,0.274,0.361
30,51,186,165,17,29,7,0,8,22,0,0,18,49,0.176,0.258,0.364
26,39,123,113,10,20,7,0,1,7,2,1,10,31,0.177,0.244,0.265
32,40,80,73,9,13,4,0,1,9,0,0,7,19,0.178,0.250,0.274
24,26,84,73,8,13,1,0,1,6,0,1,6,22,0.178,0.244,0.233
26,48,147,135,18,24,4,2,3,10,6,1,9,48,0.178,0.238,0.304
32,31,94,84,5,15,2,0,0,7,1,0,8,22,0.179,0.255,0.202
23,9,29,28,2,5,0,0,1,4,0,0,1,9,0.179,0.207,0.286
36,43,156,145,17,26,5,0,1,9,2,2,8,36,0.179,0.231,0.234
38,67,220,195,10,35,9,0,4,22,1,0,19,67,0.179,0.265,0.287
33,25,65,56,6,10,3,0,0,4,0,0,7,23,0.179,0.270,0.232
27,19,53,50,2,9,1,0,0,4,0,0,2,16,0.180,0.212,0.200
38,50,184,167,14,30,5,0,3,16,1,0,15,39,0.180,0.245,0.263
25,47,151,139,9,25,9,1,2,13,4,0,7,42,0.180,0.216,0.302
31,102,375,333,32,60,12,1,9,30,0,0,38,112,0.180,0.267,0.303
38,51,159,139,10,25,4,0,4,15,0,0,15,29,0.180,0.266,0.295
24,28,61,55,8,10,1,0,0,3,0,0,3,19,0.182,0.250,0.200
24,23,81,77,7,14,3,0,3,14,2,0,3,32,0.182,0.210,0.338
26,9,14,11,5,2,0,0,1,3,1,0,2,8,0.182,0.357,0.455
27,14,35,33,4,6,2,0,0,3,0,0,1,15,0.182,0.200,0.242
33,20,62,60,4,11,2,1,0,0,0,0,2,15,0.183,0.210,0.250
22,11,42,38,4,7,0,0,2,5,0,0,2,8,0.184,0.244,0.342
26,69,179,163,19,30,4,0,0,6,0,1,11,26,0.184,0.243,0.209
25,152,524,451,58,83,16,2,17,53,7,1,57,150,0.184,0.284,0.341
28,70,200,174,26,32,6,1,2,14,5,1,23,57,0.184,0.280,0.264
23,49,182,158,18,29,9,1,7,20,0,0,19,66,0.184,0.271,0.386
33,85,207,184,20,34,7,0,6,18,3,0,14,54,0.185,0.255,0.321
25,109,352,324,36,60,13,1,10,35,2,0,22,65,0.185,0.239,0.324
29,46,134,118,17,22,4,0,2,8,8,2,10,42,0.186,0.260,0.271
29,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349
35,113,379,344,40,64,12,0,15,45,0,0,22,116,0.186,0.248,0.352
31,23,74,70,8,13,1,1,1,6,1,0,3,17,0.186,0.230,0.271
27,67,192,171,15,32,5,2,3,14,4,0,19,45,0.187,0.266,0.292
23,16,53,48,4,9,1,0,1,3,1,0,5,9,0.188,0.264,0.271
26,7,17,16,2,3,1,0,0,1,0,0,1,7,0.188,0.235,0.250
26,8,17,16,1,3,0,0,0,0,1,0,1,6,0.188,0.235,0.188
26,27,56,48,8,9,3,0,1,7,0,0,5,16,0.188,0.273,0.313
25,23,57,53,6,10,2,1,1,7,0,0,1,13,0.189,0.200,0.321
25,38,126,111,4,21,3,0,1,9,0,0,11,31,0.189,0.278,0.243
30,16,41,37,4,7,1,0,0,3,1,0,4,12,0.189,0.268,0.216
25,47,124,111,9,21,2,0,0,5,0,0,9,34,0.189,0.250,0.207
27,16,43,37,0,7,0,0,0,6,0,0,5,12,0.189,0.279,0.189
26,53,131,122,17,23,4,3,0,8,3,1,4,38,0.189,0.244,0.270
31,42,139,126,12,24,4,0,5,14,2,0,9,48,0.190,0.252,0.341
22,16,57,47,9,9,1,1,1,5,1,0,8,16,0.191,0.321,0.319
28,24,72,68,4,13,4,0,1,6,0,0,2,9,0.191,0.214,0.294
24,32,87,78,10,15,4,0,2,6,0,0,8,23,0.192,0.276,0.321
29,53,210,177,26,34,5,0,3,14,0,0,32,41,0.192,0.316,0.271
36,79,294,255,35,49,8,0,15,39,0,0,35,60,0.192,0.293,0.400
27,26,79,72,7,14,4,0,4,10,0,0,6,31,0.194,0.266,0.417
28,12,39,36,2,7,3,0,0,4,4,0,2,16,0.194,0.231,0.278
27,58,152,134,11,26,10,1,0,17,0,0,12,37,0.194,0.276,0.284
39,12,43,41,3,8,0,0,1,3,0,0,2,11,0.195,0.233,0.268
32,61,191,174,19,34,6,0,3,18,3,0,11,46,0.195,0.257,0.282
22,148,500,431,58,84,10,2,5,40,9,2,50,103,0.195,0.285,0.262
34,125,424,388,36,76,14,1,12,49,3,2,27,136,0.196,0.257,0.330
31,136,565,464,69,91,22,1,21,69,2,0,90,141,0.196,0.329,0.384
24,43,117,102,15,20,9,0,4,10,2,1,13,33,0.196,0.284,0.402
27,125,349,322,37,63,8,0,9,28,17,1,15,119,0.196,0.236,0.304
28,80,276,259,24,51,13,0,10,30,2,3,17,101,0.197,0.246,0.363
22,27,95,76,11,15,1,0,5,12,1,0,19,23,0.197,0.358,0.408
25,58,184,157,17,31,4,0,2,16,0,0,20,46,0.197,0.299,0.261
27,22,72,61,7,12,2,0,1,4,0,0,7,24,0.197,0.306,0.279
24,73,253,213,23,42,5,0,2,16,4,3,28,50,0.197,0.307,0.249
26,25,69,61,5,12,2,0,0,0,0,0,5,12,0.197,0.279,0.230
28,42,116,106,10,21,2,0,4,13,5,0,7,30,0.198,0.259,0.330
28,95,314,272,26,54,12,0,9,34,0,0,31,67,0.199,0.300,0.342
27,57,185,166,21,33,6,3,5,14,7,0,16,52,0.199,0.273,0.361
25,8,7,5,2,1,0,0,0,0,0,0,2,1,0.200,0.429,0.200
26,63,161,145,18,29,3,0,0,6,0,1,11,24,0.200,0.264,0.221
24,3,11,10,2,2,0,0,0,0,1,0,1,3,0.200,0.273,0.200
26,10,21,20,3,4,2,0,1,3,0,0,1,9,0.200,0.238,0.450
30,5,17,15,1,3,0,0,0,0,0,0,1,5,0.200,0.294,0.200
24,19,62,60,9,12,2,1,3,6,1,0,1,25,0.200,0.226,0.417
25,6,11,10,0,2,1,0,0,3,0,0,1,5,0.200,0.273,0.300
22,7,6,5,0,1,0,0,0,0,0,0,1,2,0.200,0.333,0.200
23,3,7,5,1,1,1,0,0,0,0,0,1,0,0.200,0.429,0.400
28,47,117,105,16,21,2,0,3,10,12,1,11,41,0.200,0.274,0.305
25,3,6,5,1,1,0,0,0,0,0,0,1,4,0.200,0.333,0.200
27,97,303,257,43,52,18,1,6,24,2,0,38,85,0.202,0.318,0.350
33,99,376,327,15,66,7,0,5,27,1,0,45,79,0.202,0.301,0.269
27,49,119,114,17,23,6,1,4,16,2,2,3,27,0.202,0.227,0.377
36,131,506,431,52,87,18,0,19,60,0,0,71,88,0.202,0.316,0.376
30,131,510,481,48,97,23,1,11,38,5,0,19,107,0.202,0.239,0.322
23,106,372,326,45,66,11,0,19,38,4,2,41,114,0.202,0.298,0.411
32,131,370,344,30,70,23,1,4,38,2,3,24,77,0.203,0.255,0.311
33,57,176,148,20,30,4,0,5,17,0,0,24,50,0.203,0.318,0.331
31,49,130,123,18,25,7,2,4,13,1,0,6,40,0.203,0.246,0.390
27,62,205,187,19,38,4,1,6,16,0,0,13,44,0.203,0.261,0.332
22,110,404,360,38,73,16,1,8,28,0,1,37,99,0.203,0.285,0.319
23,73,225,201,30,41,3,2,2,9,9,6,24,64,0.204,0.289,0.269
26,58,187,162,17,33,4,0,1,6,1,0,19,32,0.204,0.301,0.247
32,48,151,137,15,28,5,1,1,10,1,0,11,32,0.204,0.278,0.277
24,26,102,98,9,20,4,1,5,14,2,0,4,39,0.204,0.235,0.418
35,118,388,334,52,68,12,0,11,45,2,0,45,105,0.204,0.307,0.338
32,83,320,273,24,56,13,1,2,23,3,1,38,90,0.205,0.313,0.282
23,111,381,331,48,68,16,0,20,45,0,1,44,67,0.205,0.304,0.435
29,128,471,419,42,86,24,0,16,61,2,0,40,136,0.205,0.282,0.377
23,77,206,185,20,38,7,3,6,26,5,2,19,65,0.205,0.286,0.373
38,91,376,322,31,66,18,1,11,41,0,0,44,97,0.205,0.319,0.370
